,,,,
,,,,                                                                                                                 
GARANTIAS Y FORMA DE PAGO,👉🏻 CONSULTAS 📲👩🏻‍💻,,@MICROSMARTAR,REPUESTOS AMPSENTRIX
,,,,
PRODUCTO,EFECTIVO/USDT,TRANSFERENCIA,Estado,Notas
PANTALLAS ORIGINALES EXTRAIDAS IPHONE 12 MINI ,"$160,000.00","$168,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 12 ,"$160,000.00","$168,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 12 ,"$170,000.00","$178,500.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 12 PRO MAX ,"$230,000.00","$241,500.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 13 MINI ,"$160,000.00","$168,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 13 ,"$160,000.00","$168,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 13 PRO ,"$230,000.00","$241,500.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 13 PRO MAX ,"$280,000.00","$294,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 14 PLUS ,"$240,000.00","$252,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 14 ,"$180,000.00","$189,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 14 PRO ,"$240,000.00","$252,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 14 PRO MAX ,"$330,000.00","$346,500.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 15,"$220,000.00","$231,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 15 PLUS,"$230,000.00","$241,500.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 15 PRO,"$280,000.00","$294,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS IPHONE 15 PRO MAX,"$320,000.00","$336,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 16 E,"$280,000.00","$294,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 16 PLUS,"$300,000.00","$315,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 16,"$250,000.00","$262,500.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 16 PRO,"$330,000.00","$346,500.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
PANTALLAS ORIGINALES EXTRAIDAS  IPHONE 16 PRO MAX,"$440,000.00","$462,000.00",CONSULTAR,PANTALLAS EXTRAIDAS APTAS TRASPLANTE IC  (PUEDEN TENER RAYONES)
CAMARA TRASERA ORIGINAL  iPHONE  X,$15.00,$16.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE XR,$20.00,$21.00,CONSULTAR,
CAMARA TRASERA ORIGINAL IPHONE XS - XS Max,$25.00,$27.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 11,$25.00,$27.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 11 Pro - 11 Pro Max ,$50.00,$53.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 12,$35.00,$37.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 12 mini,$45.00,$48.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 12 Pro,$80.00,$84.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 12 Pro Max ,$70.00,$74.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 13 - 13mini,$30.00,$32.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 13 Pro - 13 Pro Max,$80.00,$84.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 14,$50.00,$53.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 14 Plus,$50.00,$53.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 14 Pro ,$75.00,$79.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 14 Pro Max,$75.00,$79.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 15,$50.00,$53.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 15 Plus,$50.00,$53.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 15 Pro,$70.00,$74.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 15 Pro Max,$80.00,$84.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 16,$70.00,$74.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 16 PLUS ,$80.00,$84.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 16 E,$70.00,$74.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 16 PRO,$70.00,$74.00,CONSULTAR,
CAMARA TRASERA ORIGINAL iPHONE 16 PRO MAX ,$80.00,$84.00,CONSULTAR,
VIDRIO TRASERO ORIGINAL IPHONE 14,$30.00,$32.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 14PLUS,$30.00,$32.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 15,$35.00,$37.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 15PLUS,$45.00,$48.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 15 PRO ,$45.00,$48.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 15 PRO MAX,$52.00,$55.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 16,$45.00,$48.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 16 PLUS ,$54.00,$57.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 16 PRO ,$50.00,$53.00,CONSULTAR,VIENE CON FLEX
VIDRIO TRASERO ORIGINAL IPHONE 16 PRO MAX ,$65.00,$69.00,CONSULTAR,VIENE CON FLEX
FLEX DE CARGA ORIGINAL IPHONE 11,$25.00,$27.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 11 Pro ,$45.00,$48.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 11 Pro Max ,$48.00,$51.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 12 Mini,$25.00,$27.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE  12/12 Pro,$25.00,$27.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 12 Pro Max,$30.00,$32.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 13 Mini,$30.00,$32.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 13,$28.00,$30.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 13 Pro,$35.00,$37.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 13 Pro Max,$35.00,$37.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 14,$30.00,$32.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 14 Plus,$30.00,$32.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 14 Pro,$40.00,$42.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 14 Pro Max,$40.00,$42.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 15,$40.00,$42.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 15 Plus,$45.00,$48.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 15 Pro,$45.00,$48.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 15 Pro Max,$50.00,$53.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 16 ,$50.00,$53.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 16 Pro,$60.00,$63.00,CONSULTAR,
FLEX DE CARGA ORIGINAL IPHONE 16 Pro MAX,$65.00,$69.00,CONSULTAR,
CHASIS ORIGINAL IPHONE  11,$25.00,$27.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 11 Pro,$40.00,$42.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 11 Pro Max,$40.00,$42.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 12,$25.00,$27.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 12 Pro ,$45.00,$48.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 12 Pro Max,$45.00,$48.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 13,$30.00,$32.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 13 Pro,$55.00,$58.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 13 Pro Max,$55.00,$58.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 14 Pro,$65.00,$69.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 14 Pro Max,$65.00,$69.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE  15 ,$55.00,$58.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE  15 Pro,$80.00,$84.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE  15 Pro Max,$80.00,$84.00,CONSULTAR,"PUEDEN TENER DETALLES, PEDIR SIEMPRE UNA FOTO ANTES DE COMPRAR "
CHASIS ORIGINAL IPHONE 16 ,$75.00,$79.00,CONSULTAR,VIENEN CON EL BOTON DE CAMARA /PEDIR FOTOS ANTES DE COMPRAR 
CHASIS ORIGINAL IPHONE 16 PRO,$80.00,$84.00,CONSULTAR,VIENEN CON EL BOTON DE CAMARA /PEDIR FOTOS ANTES DE COMPRAR 
CHASIS ORIGINAL IPHONE 16 PRO MAX,$95.00,$100.00,CONSULTAR,VIENEN CON EL BOTON DE CAMARA /PEDIR FOTOS ANTES DE COMPRAR 